,SMILES,molecular_weight,n_hba,n_hbd,logp,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
1794,CCCc1[nH]nc2c1C(C1=CCCCC1)C(C#N)C(=N)O2,284.16371125999996,4,2,3.455650000000002,284.16371125999996,4,2,3.455650000000002,True
1796,C=C(CC(N)C(=O)O)C(=O)O,159.053157768,3,3,-0.5708000000000002,159.053157768,3,3,-0.5708000000000002,True
1797,COC(=O)c1scc(-c2ccc(NC(=O)c3cccc(F)c3)cc2)c1O,371.06275714799995,5,2,4.298700000000003,371.06275714799995,5,2,4.298700000000003,True
1799,CC(=Cc1ccccc1Sc1ccc(C)cc1C=CC1COC(C)(C)C1O)C(=O)O,424.1708303759999,4,2,5.433220000000006,424.1708303759999,4,2,5.433220000000006,True
1800,O=C1OC(c2ccccc2)=CC1=Cc1ccc(C(F)(F)F)cc1,316.07111425200003,2,0,4.686700000000003,316.07111425200003,2,0,4.686700000000003,True
1801,COC(=O)CCCCc1ccc2c(c1)C(=O)C(Cc1ccc(O)cc1)=C2,350.15180918399994,4,1,4.100400000000003,350.15180918399994,4,1,4.100400000000003,True
1802,O=C(O)c1ccc(CN2C(=O)SC(=Cc3cccc(O)c3)C2=O)cc1,355.05144351599995,5,2,3.326900000000001,355.05144351599995,5,2,3.326900000000001,True
1803,CCCCCC#CCCCCCCCCCCC(=O)c1cccc(CO)c1O,386.28209507599996,3,2,6.551900000000009,386.28209507599996,3,2,6.551900000000009,True
1804,O=C(O)Cn1c(=Cc2ccccc2)sc(=CC=Cc2ccccc2)c1=O,363.092914404,4,1,2.3171,363.092914404,4,1,2.3171,True
1805,CCCc1ccc(-c2nc(-c3ccc(OC)cc3)no2)cc1,294.136827816,4,0,4.364700000000004,294.136827816,4,0,4.364700000000004,True
1806,O=C(O)c1ccccc1C(=O)C=Cc1cc(O)cc(O)c1,284.068473484,4,3,2.692100000000001,284.068473484,4,3,2.692100000000001,True
1807,O=C(COC(=O)c1ccccc1Nc1ccc(Br)cc1)NCc1ccc(F)cc1,456.048482756,4,2,4.805000000000003,456.048482756,4,2,4.805000000000003,True
1808,CCCC(C)=CCc1c(O)ccc2c1OCC1c3ccc4c(c3OC21)C=CC(C)(C)O4,418.21440943999994,4,1,6.475000000000007,418.21440943999994,4,1,6.475000000000007,True
1809,CCCCc1ccc(-c2ccc(-c3noc(Cc4c[nH]c5ccccc45)n3)cc2)cc1,407.19976242,3,1,6.818300000000006,407.19976242,3,1,6.818300000000006,True
1810,CCc1cc(OC(C)C(=O)O)c(-c2ccc(OC)cc2-c2ccc3c(c2)OCO3)cc1NC(=O)C(=O)O,507.1529313799999,7,3,4.195300000000001,507.1529313799999,7,3,4.195300000000001,True
1811,CCOS(=O)(=O)C=Cc1ccc(OC)c(-c2ccc(C)cc2)c1,332.10823012000003,4,0,4.007620000000003,332.10823012000003,4,0,4.007620000000003,True
1812,O=C(O)c1ccc(CN(Cc2cccc(F)c2)Cc2ccc3c(c2)OCO3)cc1,393.13763634,4,1,4.455000000000004,393.13763634,4,1,4.455000000000004,True
1813,O=C(O)COc1c(C(=O)O)sc(-c2cccc(NC3CCCCCC3)c2)c1O,405.124608456,6,4,4.417000000000004,405.124608456,6,4,4.417000000000004,True
1814,O=[N+]([O-])c1ccc(Oc2cnoc2N2CCC(Cc3ccccc3)CC2)cc1,379.15320615200005,6,0,4.8342000000000045,379.15320615200005,6,0,4.8342000000000045,True
1815,CCCCNC(=O)CSc1nnc(-c2ccc(OC)cc2)o1,321.114712468,6,1,2.7536000000000014,321.114712468,6,1,2.7536000000000014,True
1816,O=C(COc1cccc2ccccc12)Nc1ccccc1,277.11027872000005,2,1,3.857300000000002,277.11027872000005,2,1,3.857300000000002,True
1817,NS(=O)(=O)c1ccc(NC(=O)Nc2ccc(O)cc2)cc1,307.062676896,4,4,1.6836,307.062676896,4,4,1.6836,True
1818,C=CCCCCCC=C(CCCC=CC(=O)N1CCOCC1)COC,349.26169398,3,0,4.281000000000003,349.26169398,3,0,4.281000000000003,True
1819,O=C(C=Cc1ccc(I)cc1)c1ccc(O)cc1,349.98037759199997,2,1,3.892900000000002,349.98037759199997,2,1,3.892900000000002,True
1820,O=C(O)c1cccc(NC(=NS(=O)(=O)c2cc(Cl)ccc2Cl)c2cccc(F)c2)c1,465.99571147600005,3,2,5.078300000000003,465.99571147600005,3,2,5.078300000000003,True
1821,O=C(Cc1ccccc1)NCCCCN1CCN(c2ncccn2)CC1,353.22156048400007,5,1,1.7376999999999996,353.22156048400007,5,1,1.7376999999999996,True
1823,O=C(O)COc1ccc(CC(c2ccccc2)(c2ccccc2)c2ccc(F)cc2)cc1,426.163122816,2,1,5.8662000000000045,426.163122816,2,1,5.8662000000000045,True
1824,O=C(CCc1c[nH]c2ccccc12)NC(Cc1ccc(OCc2ccccc2)cc1)C(=O)O,442.18925731199994,3,3,4.491600000000003,442.18925731199994,3,3,4.491600000000003,True
1825,COC(=O)CNC(=O)C1=CC2CCCC2C1=O,237.10010796,4,1,0.2009999999999994,237.10010796,4,1,0.2009999999999994,True
1826,CCN(Cc1ccccc1)C(=O)COc1ccc(-c2ccc(C(=O)O)cc2)cc1,389.162708216,3,1,4.479300000000004,389.162708216,3,1,4.479300000000004,True
1827,CCCc1oc2ccccc2c1Oc1ccc(CCC2(C)COC2)cc1,350.18819469199997,3,0,6.146700000000005,350.18819469199997,3,0,6.146700000000005,True
1828,Oc1cc(Br)c(O)c(-c2ccccc2)c1,263.978591628,2,2,3.527300000000002,263.978591628,2,2,3.527300000000002,True
1829,Cc1ccc(-c2nn3c(C)cc(C)nc3c2C(OCc2ccccc2)C2CCCCC2)cc1,439.262362676,4,0,7.159760000000007,439.262362676,4,0,7.159760000000007,True
1830,O=C(O)C(=O)Nc1cccc(S(=O)(=O)N2CCCCCC2)c1,326.093642676,4,2,1.2743999999999993,326.093642676,4,2,1.2743999999999993,True
1832,CC(C)N(C)C(=O)Cc1ccc(-c2ccc(C(=O)Nc3ccc(N4CCN(C)CC4)cc3)cc2)cc1,484.28382639200004,4,1,4.767000000000004,484.28382639200004,4,1,4.767000000000004,True
1833,CCCCc1ccc(NC(=O)Nc2ccc(C(C)C)cc2)cc1,310.20451345199996,1,2,5.796600000000004,310.20451345199996,1,2,5.796600000000004,True
1834,COC(=O)CCN(Cc1ccc(C(=O)c2ccc(O)cc2)cc1)C(=O)C1CCC1,395.1732729,5,1,3.315000000000002,395.1732729,5,1,3.315000000000002,True
1835,CC(C)=CCCC(C)=CCOc1cc(C(=O)O)c(O)cc1C,304.167459248,3,2,4.470320000000004,304.167459248,3,2,4.470320000000004,True
1836,O=C(O)C(=O)Nc1cscc1Cl,204.96004166799997,3,2,1.4245999999999996,204.96004166799997,3,2,1.4245999999999996,True
1837,O=C(CC(Cc1ccccc1)C(=O)O)NO,223.084457896,3,3,0.8254000000000001,223.084457896,3,3,0.8254000000000001,True
1838,O=Nc1c(-c2c(O)[nH]c3ccc(C(=O)O)cc23)[nH]c2ccccc12,321.07495583200006,4,4,4.1179000000000014,321.07495583200006,4,4,4.1179000000000014,True
1839,C=CCc1cc(C(=O)C=Cc2cc(Br)c(O)cc2OC)ccc1O,388.03102112399995,4,2,4.493500000000004,388.03102112399995,4,2,4.493500000000004,True
1841,O=C(COC(=O)C=Cc1ccc(OC(F)F)cc1)Nc1ccc(OC(F)(F)F)cc1,431.079213648,5,1,4.381700000000002,431.079213648,5,1,4.381700000000002,True
1842,Cc1ccc(C=Nc2ccc3[nH]c(N)nc3c2)cc1,250.12184644799999,3,2,3.2041200000000005,250.12184644799999,3,2,3.2041200000000005,True
1843,C=CCOc1ccc(C=C2C(=O)NC(=O)N(Cc3ccc(OC)cc3)C2=O)cc1,392.13722174,5,1,2.9220000000000015,392.13722174,5,1,2.9220000000000015,True
1844,CNc1snc(-c2ccc(C)cc2)c1C#CC#CCN1CCCCC1,349.161268736,4,1,4.001020000000003,349.161268736,4,1,4.001020000000003,True
1845,O=S(=O)(NCc1cccc(-c2ccc(C(F)(F)F)cc2)c1)c1ccccc1,391.085384412,2,1,4.850900000000004,391.085384412,2,1,4.850900000000004,True
1847,O=[N+]([O-])c1ccc(O)c(C=Nc2ccc(-c3nc4ccc(F)cc4s3)cc2)c1,393.058340464,6,1,5.466800000000003,393.058340464,6,1,5.466800000000003,True
1848,CCCc1c(-c2cc(C=CS(=O)(=O)OCC)ccc2OC)cc(O)c(O)c1C(=O)O,436.11918872799987,7,3,3.7611000000000034,436.11918872799987,7,3,3.7611000000000034,True
1849,COC(=O)c1scc(-c2ccc(NC(=O)c3ccc(C(F)(F)F)cc3)cc2)c1OC,435.07521365199995,5,1,5.481400000000003,435.07521365199995,5,1,5.481400000000003,True
1850,Cc1ccc(CON=Cc2c(C)nn(-c3ccccc3)c2-c2ccc(C(C)C)cc2)cc1,423.231062548,4,0,6.830240000000006,423.231062548,4,0,6.830240000000006,True
1851,CC1=CCc2c(ccc3c2CCN(C)C3)C(c2ccc(F)cc2)=C1CC(C)C,375.23622817999996,1,0,6.164000000000006,375.23622817999996,1,0,6.164000000000006,True
1852,O=C(O)COc1cc(C(=O)c2ccccc2)ccc1-c1nc2cc(C(=O)O)ccc2[nH]1,416.10083623199995,5,3,3.6225000000000014,416.10083623199995,5,3,3.6225000000000014,True
1853,CCCSc1oc2cc(Br)ccc2c1CCc1ccc(-c2ccc(C(=O)O)cc2)cc1,494.05512769599994,3,1,7.8478000000000065,494.05512769599994,3,1,7.8478000000000065,True
1854,O=C(O)C1=Cc2cc(Cl)c(Cl)c(Br)c2OC2C(CO)C(C(O)Cc3ccccc3)C2(CO)C1,556.0055059159998,5,4,4.195600000000003,556.0055059159998,5,4,4.195600000000003,True
1855,COC(=O)COC(=O)c1ccc(COCC(C)(C)C)cc1,294.14672380400003,5,0,2.5791000000000004,294.14672380400003,5,0,2.5791000000000004,True
1856,Nc1ccccc1NC(=O)CCCCCC(=O)Nc1cccc(C(=O)O)c1,369.16885621599994,4,4,3.494700000000001,369.16885621599994,4,4,3.494700000000001,True
1857,CCOC(=O)c1c(N)sc(N=Cc2ccc([N+](=O)[O-])o2)c1O,325.036856072,9,2,2.464400000000001,325.036856072,9,2,2.464400000000001,True
1858,COC(=O)C(C)=CCC=C(C)C=CC(=O)CC(=O)C1CCC(C)(O)C(C)(C)O1,392.21988874399995,6,1,3.2352000000000016,392.21988874399995,6,1,3.2352000000000016,True
1859,O=C(O)c1ccc(C=Cc2ccc3c(c2)OCO3)cc1,268.073558864,3,1,3.283900000000002,268.073558864,3,1,3.283900000000002,True
1860,COc1cc(OC)c(C(O)CC(C)=CCCC=C(C)CCC=C(C)C)cc1OC,402.27700969599994,4,1,6.5551000000000075,402.27700969599994,4,1,6.5551000000000075,True
1863,CC(Oc1ccc2c(c1)OCC(C(=O)O)O2)c1ccccc1,300.09977361200004,4,1,3.051000000000001,300.09977361200004,4,1,3.051000000000001,True
1865,O=C(CCc1c[nH]c2ccccc12)Nc1ccc(Cl)cc1Cl,332.048318428,1,2,5.046000000000002,332.048318428,1,2,5.046000000000002,True
1866,COc1cc(C=C(C#N)C(=O)c2ccc(C(=O)O)cc2)ccc1O,323.079372516,5,2,2.8888800000000017,323.079372516,5,2,2.8888800000000017,True
1868,O=C(O)c1ccc(CN2C(=O)OC(=Cc3ccc(OCCOCCOCCN4C(=O)CCC4=O)cc3)C2=O)cc1,552.1743950959999,9,1,2.4657,552.1743950959999,9,1,2.4657,True
1869,COc1cc(O)cc2c1OC1(C)Cc3cc(OC)c(OC)c(OC)c3C(=O)C21O,402.1314676639999,8,2,2.2043000000000004,402.1314676639999,8,2,2.2043000000000004,True
1870,Cc1noc(-c2ccc(OCc3ccc(CC(C)C)cc3)cc2)n1,322.16812794400005,4,0,4.822520000000004,322.16812794400005,4,0,4.822520000000004,True
1871,N#Cc1cc(Sc2ccc(C(F)(F)F)cc2)ccc1OCCc1ccccc1,399.09046979199996,3,0,6.3497800000000035,399.09046979199996,3,0,6.3497800000000035,True
1872,COC(=O)CCc1ccc(Nc2ncc(Br)c(Nc3cc(C4CC4)[nH]n3)n2)cc1,456.09093601200016,7,3,4.432400000000001,456.09093601200016,7,3,4.432400000000001,True
1873,O=C(O)c1ccc(C=Cc2ccc(F)c(F)c2)cc1,260.064886,1,1,3.833400000000002,260.064886,1,1,3.833400000000002,True
1874,CC1(C)C=C2C(=NN(c3ccccc3C(=O)O)C3CCCCC23)C(=O)N1,353.173941596,4,2,2.9544000000000015,353.173941596,4,2,2.9544000000000015,True
1875,COc1cc(O)c(Br)cc1O,217.957856184,3,2,1.8688999999999996,217.957856184,3,2,1.8688999999999996,True
1877,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(Br)cc1,483.04797984799995,3,1,5.088100000000004,483.04797984799995,3,1,5.088100000000004,True
1878,CN(C)S(=O)(=O)c1ccc2ncc(C(=O)NCCc3ccccc3)cc2c1,383.13036253200005,4,1,2.4576000000000002,383.13036253200005,4,1,2.4576000000000002,True
1879,CCCc1ccc(-c2ccc(-c3noc(Cc4c[nH]c(CC)c4)n3)cc2)cc1,371.19976242,3,1,5.837400000000005,371.19976242,3,1,5.837400000000005,True
1880,CC(C)c1ccc(C(=O)c2c(O)cc(O)c(C=Cc3ccc(O)cc3)c2O)c(O)c1,406.1416384239999,6,5,4.739400000000008,406.1416384239999,6,5,4.739400000000008,True
1881,CCCCCCOc1ccc(OC)c(C(C)N(C(=O)C2CCCCN2)C(C)C)c1,404.30389314,4,1,5.094400000000005,404.30389314,4,1,5.094400000000005,True
1882,CCCCNCC(=O)Nc1ccc(-c2ccc(C(=O)O)cc2)cc1,326.163042564,3,3,3.3800000000000017,326.163042564,3,3,3.3800000000000017,True
1883,O=C(NCc1ccco1)c1ccc(C#Cc2ccccc2)cc1,301.11027872000005,2,1,3.6094000000000026,301.11027872000005,2,1,3.6094000000000026,True
1885,COc1ccc2c(c1)Oc1ncc(C#Cc3ccc(C)s3)cc1C21OCCO1,391.087829024,6,0,4.2135200000000035,391.087829024,6,0,4.2135200000000035,True
1886,CCOC(=O)COC1CCN(c2ccc(-c3ccc(C(=O)c4cccc(O)c4)cc3)cc2)CC1,459.20457302799997,6,1,4.838700000000005,459.20457302799997,6,1,4.838700000000005,True
1887,CCc1cc(C#N)cc(-c2ccc3c(c2)CCC(CCC(=O)O)O3)c1,335.15214353199997,3,1,4.346080000000002,335.15214353199997,3,1,4.346080000000002,True
1889,O=C(O)Cc1ccccc1Oc1ccc2oc(-c3nc(C(=O)O)no3)cc2c1,380.0644507239999,7,2,3.6004000000000023,380.0644507239999,7,2,3.6004000000000023,True
1890,COc1ccccc1N1CCN(Cc2ccc(CN(C)C)cc2)CC1,339.231062548,4,0,3.0790000000000015,339.231062548,4,0,3.0790000000000015,True
1891,O=C(O)C(Cc1ccccc1)N1C(=O)C(=Cc2ccc(-c3ccc(Cl)cc3)o2)SC1=S,469.02092767199997,5,1,5.497100000000004,469.02092767199997,5,1,5.497100000000004,True
1892,COC(=O)c1scc(-c2ccc(NC(=O)Cc3ccc(OC)cc3)cc2)c1O,397.09839370799995,6,2,4.097100000000003,397.09839370799995,6,2,4.097100000000003,True
1894,O=C1CC(c2ccc(CC(NS(=O)(=O)c3cccc(Br)c3)C3CCCCC3)cc2)S(=O)(=O)N1,554.0544760639999,5,2,3.8098000000000027,554.0544760639999,5,2,3.8098000000000027,True
1895,O=C(COC(=O)c1ccccc1-n1cccc1)NCc1ccco1,324.111006992,5,1,2.5435000000000008,324.111006992,5,1,2.5435000000000008,True
1896,COc1ccc(OC)c(CSc2ccccc2C(=O)OCc2cc(C(=O)O)cc(C(=O)O)c2)c1,482.10353866399987,7,2,4.749500000000003,482.10353866399987,7,2,4.749500000000003,True
1897,COc1ccc(C(C)=O)cc1S(=O)(=O)Nc1ccccc1O,321.06709358,5,2,2.404200000000001,321.06709358,5,2,2.404200000000001,True
1898,COC(=O)CN1C(=O)C(=Cc2ccccc2)N(Cc2ccccc2)C1=O,350.126657056,4,0,2.664900000000001,350.126657056,4,0,2.664900000000001,True
1899,CC(=O)Nc1ccccc1C(=O)NC(Cc1ccccc1)C(O)CN1CC2CCCCC2CC1C(=O)O,507.27332128399996,5,4,3.3123000000000014,507.27332128399996,5,4,3.3123000000000014,True
1900,CCOC(=O)Oc1ccc2c(c1)C(=O)c1ccccc1-2,268.073558864,4,0,3.433300000000002,268.073558864,4,0,3.433300000000002,True
1901,CCN(Cc1ccc(N(CC(=O)OC)C(C)C)cc1)C(=O)COC(=O)c1cnc(C)cn1,442.22162005999996,8,0,2.3783200000000004,442.22162005999996,8,0,2.3783200000000004,True
1902,Cc1ccc(C(=O)CC(Nc2ccc(C)c(C)c2)c2ccc(F)cc2)cc1,361.184192608,2,1,6.177160000000005,361.184192608,2,1,6.177160000000005,True
1903,CNc1ncc(-c2ccc(C(=O)NCc3cccc(C(F)(F)F)c3)cc2)c(C)n1,400.15109588800004,4,2,4.442520000000004,400.15109588800004,4,2,4.442520000000004,True
1904,C=CCN1SC(=Cc2ccc(OCc3ccc(C(=O)OC)cc3)c(OC)c2)C1=O,411.11404377199995,6,0,4.078100000000003,411.11404377199995,6,0,4.078100000000003,True
1905,C=CC(C)(C)c1cc(C=CC(=O)c2ccc(OC)cc2)ccc1O,322.15689456399997,3,1,4.760500000000005,322.15689456399997,3,1,4.760500000000005,True
1906,C=CC(C)(C)c1cc(O)cc(O)c1C=CC(=O)O,248.104858992,3,3,2.6592000000000002,248.104858992,3,3,2.6592000000000002,True
1907,Oc1ccccc1C=CCC=CC=CCCCc1cc(O)c(Cc2ccc(Cl)c(Cl)c2)cc1O,494.14155011599996,3,3,8.239600000000005,494.14155011599996,3,3,8.239600000000005,True
1908,CCCCCC(=O)n1nccc1O,182.105527688,4,1,1.8091999999999997,182.105527688,4,1,1.8091999999999997,True
1910,CCOS(=O)(=O)C=Cc1ccc(OCOCC(C)(C)O)cc1,330.113709424,6,1,2.1474,330.113709424,6,1,2.1474,True
1911,C=CCNc1ccccc1C(=O)C=Cc1ccc(O)cc1O,295.120843404,4,3,3.5918000000000023,295.120843404,4,3,3.5918000000000023,True
1912,COc1ccc2oc(=O)c(C(=O)Nc3ccc(Br)cc3F)cc2c1,390.98554815200004,4,1,3.9555000000000025,390.98554815200004,4,1,3.9555000000000025,True
1913,O=C(O)CNc1ccc2c(c1)COc1cc(Nc3cccc(F)c3)ccc1O2,380.117235244,5,3,4.750500000000002,380.117235244,5,3,4.750500000000002,True
1914,Cc1ccc(CN2C(=O)c3ccccc3C2=O)cc1,251.094628656,2,0,2.791220000000001,251.094628656,2,0,2.791220000000001,True
1915,O=S(=O)(O)c1cc(N=Cc2c(O)ccc3cc(Br)ccc23)ccc1O,420.961955584,5,3,4.010800000000002,420.961955584,5,3,4.010800000000002,True
1916,N#Cc1ccc(S(=O)(=O)Nc2ccc(-c3nc4cc(NS(=O)(=O)c5ccc(C#N)cc5)ccc4o3)cc2)cc1,555.067110644,8,2,4.839760000000003,555.067110644,8,2,4.839760000000003,True
1917,CCCCN1C(=O)C(=O)c2ccccc2C1=O,231.089543276,3,0,1.6518,231.089543276,3,0,1.6518,True
1918,O=C(O)C(=O)Nc1ccc(OCc2ccccc2)cc1,271.084457896,3,2,2.2887000000000004,271.084457896,3,2,2.2887000000000004,True
1920,COc1ccc(C(=O)CCc2ccc(-c3cc(C)cc(O)c3)cc2)cc1,346.15689456399997,3,1,5.191720000000005,346.15689456399997,3,1,5.191720000000005,True
1922,Cc1ccc(C=C2SC(=O)N(C(C)C)C2=N)cc1,260.098334132,3,1,3.890390000000002,260.098334132,3,1,3.890390000000002,True
1923,CCCN(CCCCNC(=O)C=Cc1ccc(O)cc1)C1CCC(C)=C(C)C1,384.277678392,3,2,4.902700000000005,384.277678392,3,2,4.902700000000005,True
1924,O=C(NC(=S)Nc1ccc(N2CCOCC2)cc1)c1ccc(Cl)cc1,375.080825496,4,2,3.3034000000000017,375.080825496,4,2,3.3034000000000017,True
1925,O=C(O)COc1ccc(CC(NCc2ccccc2)C(=O)c2nc(C(=O)Oc3ccccc3)c[nH]2)cc1,499.17433552,7,3,3.6761000000000026,499.17433552,7,3,3.6761000000000026,True
1926,COC(=O)COc1ccc2c(c1)C(=O)c1cccc(c1O)C2=O,312.06338810399996,6,1,1.7193999999999998,312.06338810399996,6,1,1.7193999999999998,True
1927,NS(=O)(=O)c1ccc(-n2cc(CCCCN3CCc4ccccc4C3)nn2)cc1,411.17289604000007,6,1,2.2957,411.17289604000007,6,1,2.2957,True
1928,CCOc1cc(CC(=O)O)ccc1-c1ccc(C(C)C(=O)N2Cc3ccccc3C2)cc1,429.19400834400005,3,1,5.025300000000005,429.19400834400005,3,1,5.025300000000005,True
1929,CC(C)=CCc1c(O)ccc2c1OC(C)(C(=O)C=Cc1ccccc1)C2,348.17254462799997,3,1,4.877000000000004,348.17254462799997,3,1,4.877000000000004,True
1930,O=C(NCc1ccccc1)c1ccc(C=S(O)c2cccc(Cl)c2)o1,373.05394205199997,3,2,4.814300000000003,373.05394205199997,3,2,4.814300000000003,True
1931,CCCCCCCCNC(=O)C(Cc1ccc(OCC(=O)O)cc1)NC(=O)CC(C)C,434.27807231599996,4,3,3.7001000000000017,434.27807231599996,4,3,3.7001000000000017,True
1934,Nc1cc(-c2ccc(C(=O)O)cc2)cc(C(=O)O)c1O,273.06372245200004,4,4,2.0378000000000003,273.06372245200004,4,4,2.0378000000000003,True
1935,CCCN(CCC)C(=O)C(=O)Nc1cc(-c2ccc(OC(F)(F)F)cc2)cnc1O,425.156240844,5,2,3.939900000000003,425.156240844,5,2,3.939900000000003,True
1936,CCCCCNc1nc(NS(=O)(=O)c2ccc(C(C)C)cc2)nc(N2CCOCC2)n1,448.22565988400004,8,2,3.2345000000000024,448.22565988400004,8,2,3.2345000000000024,True
1937,O=C(O)COc1cc(-c2cccc(NC3CCOCC3)c2)sc1C(=O)O,377.093308328,6,3,3.167600000000001,377.093308328,6,3,3.167600000000001,True
1938,CC(=O)Oc1cc2c(cc1Cl)CCC1C2CCC2(C)C(O)CCC12,348.14922234,3,1,4.482300000000003,348.14922234,3,1,4.482300000000003,True
1939,CCCCCC1=CC(=O)c2c(O)ccc(O)c2C1=O,260.104858992,4,2,2.9835000000000016,260.104858992,4,2,2.9835000000000016,True
1940,COc1ccc(-c2cc(NC(=O)C(=O)O)c(C(=O)O)cc2Oc2ccc(-c3ccc(O)cc3)cc2)cc1,499.126716632,6,4,5.248400000000004,499.126716632,6,4,5.248400000000004,True
1941,O=C(C=Cc1ccc(O)c(O)c1)OC1CCOC1,250.084123548,5,2,1.4430999999999998,250.084123548,5,2,1.4430999999999998,True
1942,O=C(OC1CSSC1)c1ccc(OCC(O)C(O)COc2ccc(OC(F)(F)F)cc2)cc1,506.06807967199995,9,2,3.6852000000000027,506.06807967199995,9,2,3.6852000000000027,True
1943,CCNC(=O)Nc1cc(-c2nc(C(C)(C)C)cs2)ccc1N(C)C,346.182732452,4,2,4.315000000000004,346.182732452,4,2,4.315000000000004,True
1944,Cc1ccc(S(=O)(=O)N=C2CC=CC(=O)N2c2ccc(OCC(=O)OCc3ccccc3)cc2)cc1,504.1355074879999,6,0,4.1975200000000035,504.1355074879999,6,0,4.1975200000000035,True
1945,COc1ccc(C=CC(=O)Oc2c(C=O)cccc2OC)cc1OC,342.11033829599995,6,0,3.1437000000000017,342.11033829599995,6,0,3.1437000000000017,True
1947,C=CCc1cc(C=C(C#N)c2cccc(NC)c2)ccc1O,290.14191319599996,3,2,4.226580000000003,290.14191319599996,3,2,4.226580000000003,True
1948,O=C(O)C=Cc1ccc(C2CCCCC2)cc1,230.130679816,1,1,3.832100000000003,230.130679816,1,1,3.832100000000003,True
1949,COC(=O)CN(c1ccc(CNCC(O)COCc2ccccc2)cc1)c1cccc(C)c1,448.236207504,6,2,3.9734200000000026,448.236207504,6,2,3.9734200000000026,True
